Sample,Cs,Cf,s,f,TotResp
C_001,805.897923,194.102077,0.00048203,0.056821966,375.5650805
C_002,807.5918954,192.4081046,0.000418567,0.035404906,351.2169851
C_003,954.527206,45.47279402,0.000180178,0.047436391,137.3151885
C_004,808.8741147,191.1258853,0.000208294,0.054387465,275.5772017
C_005,886.2563831,113.7436169,0.000425685,0.105171181,295.8298293
C_006,963.4536679,36.54633211,0.000139498,0.02947529,106.5524075
C_007,865.5570798,134.4429202,0.000564154,0.051908463,358.276181
C_008,893.2278081,106.7721919,0.000221507,0.034825315,210.2327067
C_009,857.4576728,142.5423272,5.48E-05,0.012176222,173.476974
C_010,892.3683768,107.6316232,0.000310071,0.031525435,257.6825934
C_011,957.1625785,42.83742147,0.00018004,0.024540911,132.1326352
C_012,857.039842,142.960158,1.32E-05,0.0036367,133.4946489
C_013,957.1398916,42.8601084,0.000115198,0.021466234,103.3593199
C_014,947.1810035,52.81899654,0.000129478,0.02286326,116.6055191
C_017,971.2323619,28.76763815,0.000222405,0.026426703,140.5794552
C_018,805.0643384,194.9356616,0.000473568,0.039562708,373.9432748
C_021,840.4254073,159.5745927,0.000465872,0.047178437,348.5791128
C_022,863.9340875,136.0659125,0.00019467,0.038794014,221.263893
C_025,874.9169879,125.0830121,0.000172855,0.067602486,202.6480419
C_026,881.2699579,118.7300421,0.000286613,0.06637306,247.9647484
C_027,894.7082608,105.2917392,0.000196733,0.06126729,200.6841898
C_028,914.9436024,85.05639761,0.000273013,0.03444264,215.0156767
C_029,904.7599456,95.24005435,0.000252483,0.027932084,214.589165
C_031,932.4005861,67.59941393,0.000222438,0.030211773,179.4311263
C_033,918.8108351,81.18916491,1.01E-05,0.005217487,94.8674993
C_034,1000,0,0.000179655,,89.22637948
C_035,971.1497657,28.85023427,0.000246491,0.046786311,155.6570928
C_036,860.6727832,139.3272168,0.000164176,0.012812485,212.2713936
C_038,880.2748237,119.7251763,0.000350867,0.055448266,279.9658586
C_040,916.4105276,83.58947241,0.000219024,0.030093239,189.702405
C_041,828.7633171,171.2366829,0.000558394,0.050031276,393.7278416
C_043,931.0633373,68.93666268,0.000335387,0.040015751,224.8659727
C_044,909.9082375,90.0917625,0.000406774,0.040934975,272.4540117
C_045,1000,0,0.000194651,,98.30997775
C_046,1000,0,0.000247199,,137.8603469
C_047,952.7713055,47.22869446,0.000238506,0.031498262,163.3929333
C_048,807.5970764,192.4029236,0.000277086,0.027447164,309.6710176
C_049,965.5883169,34.41168308,0.000187983,0.029054638,129.868328
C_050,848.685175,151.314825,0.000354978,0.03705935,298.0434896
C_051,897.0592625,102.9407375,0.000486567,0.036551103,313.3760798
C_052,975.2910859,24.70891412,0.000238146,0.053128199,150.2952058
C_053,906.2973104,93.70268961,1.95E-05,0.006368179,105.6300938
C_054,935.8427731,64.1572269,3.49E-06,0.008840886,68.44693881
C_057,1000,0,0.000169309,,94.45585189
C_059,773.7001859,226.2998141,0.000499153,0.048254308,411.511157
C_060,1000,0,0.000268093,,134.6044682
C_061,893.5622711,106.4377289,0.00032484,0.038628872,255.6323356
C_062,910.7432312,89.25676878,4.99E-05,0.009568513,122.9217093
C_063,798.9062749,201.0937251,0.000215794,0.031831022,290.7796217
C_064,964.7792682,35.22073184,0.000171308,0.053887365,121.728536
M_001,808.8181687,191.1818313,0.000547099,0.036455682,396.9111329
M_002,803.9025164,196.0974836,0.000432408,0.041609296,368.9061095
M_003,824.8381358,175.1618642,0.000587068,0.037137052,401.7613597
M_004,790.0576477,209.9423523,0.000521054,0.039516934,402.1343589
M_005,782.0161066,217.9838934,0.000384571,0.037474563,356.8105132
M_006,819.8461944,180.1538056,0.000529402,0.048564647,388.2683101
P_001,778.6605838,221.3394162,0.00031756,0.039801528,347.3334961
P_002,789.8322637,210.1677363,0.000131997,0.025804244,265.2706603
P_003,723.5167597,276.4832403,0.000492839,0.046028181,444.1343596
P_004,735.2018696,264.7981304,0.000391548,0.032403426,408.5459255
P_005,741.4282123,258.5717877,0.000780459,0.051418299,516.1502376
P_006,745.1146941,254.8853059,0.000652356,0.041262027,481.161293
P_007,807.5374144,192.4625856,0.000174543,0.02401635,266.6298819
P_008,768.3484466,231.6515534,0.000171557,0.037791154,297.1707312
P_009,797.3841712,202.6158288,0.000379239,0.047640168,343.5525978
P_010,865.4073426,134.5926574,6.55E-05,0.030073134,169.1092724
S_001,803.3524115,196.6475885,8.37E-05,0.041531643,227.2293569
S_003,940.9675153,59.03248472,0.000256167,0.043299069,173.9579368
S_004,950.248737,49.751263,0.000102422,0.0464605,103.2897794
S_005,965.9158248,34.08417517,0.00038378,0.051731628,205.5245028
S_006,860.6499846,139.3500154,9.30E-06,0.005178107,138.5451705
S_007,833.1885548,166.8114452,0.000360538,0.051635556,329.0810227
S_008,870.8321445,129.1678555,0.000414876,0.077869189,313.9050572
S_009,835.5832021,164.4167979,0.000394333,0.049463351,332.4346532
S_010,911.7047307,88.29526929,0.000501456,0.043984364,303.222154
S_011,853.5496575,146.4503425,0.000417022,0.067888461,304.3384973
S_012,866.0127321,133.9872679,0.000396386,0.089880033,314.3813187
S_013,854.4848571,145.5151429,0.000356277,0.068455571,286.3038232
S_014,955.6182737,44.38172627,0.000361603,0.159327754,212.4386057
S_015,843.6719442,156.3280558,0.000273774,0.064252103,280.6127462
S_016,863.937853,136.062147,0.000334999,0.072438017,274.6103628
S_017,784.1821735,215.8178265,0.000124546,0.040595059,261.9028643
S_018,876.1879588,123.8120412,0.000501649,0.061302427,335.3566988
S_019,820.2392833,179.7607167,0.000231639,0.046450595,279.3560934
S_020,861.2757015,138.7242985,0.000462433,0.060765643,332.7721097